City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
363,kumluca,36.3703,30.2869,17.79,64,23,5.24,TR,1678370306
364,conakry,9.538,-13.6773,31.04,48,20,5.14,GN,1678370306
365,yozgat,39.5833,35.3333,12.16,38,96,5.03,TR,1678370055
366,savelugu,9.6244,-0.8253,39.14,24,8,1.99,GH,1678370306
367,turochak,52.2576,87.1224,-6.69,96,100,1.22,RU,1678370306
368,leningradskiy,69.3833,178.4167,-14.38,89,100,1.96,RU,1678370307
369,depalpur,22.85,75.55,26.22,18,0,2.25,IN,1678370307
370,kamuli,0.9472,33.1197,32.61,26,65,2.92,UG,1678370307
371,turayf,31.6725,38.6637,16.14,33,40,2.57,SA,1678370307
372,owensboro,37.7742,-87.1133,6.77,67,100,4.99,US,1678370307
373,yara,20.2753,-76.9533,26.67,56,36,5.17,CU,1678370307
374,smirnykh,49.75,142.8333,-11.7,98,99,0.41,RU,1678370307
375,hailar,49.2,119.7,-9.07,93,100,2.01,CN,1678370307
376,la ligua,-32.4524,-71.2311,21.88,58,0,2.22,CL,1678370308
377,northam,51.0333,-4.2167,13.12,89,100,7.05,GB,1678370308
378,mont-de-marsan,44.0,-0.6667,22.9,47,0,6.69,FR,1678370308
379,newport,51.5877,-2.9984,10.8,94,100,3.37,GB,1678370308
380,dunmore town,25.5,-76.65,21.2,62,100,8.19,BS,1678370308
381,praia da vitoria,38.7333,-27.0667,18.2,94,75,13.29,PT,1678370308
382,evensk,61.95,159.2333,-18.77,99,78,0.47,RU,1678370308
383,brigantine,39.4101,-74.3646,4.52,65,7,1.79,US,1678370308
384,havoysund,70.9963,24.6622,-5.87,84,100,6.29,NO,1678370309
385,kovur,14.4833,79.9833,25.39,65,100,2.62,IN,1678370309
386,laibin,23.7,109.2667,25.62,43,0,0.66,CN,1678370309
387,pauri,30.15,78.7833,14.34,36,11,0.57,IN,1678370309
388,ayan,56.45,138.1667,-13.41,93,100,3.93,RU,1678370309
389,bom jardim,-7.7958,-35.5872,31.98,35,54,6.22,BR,1678370309
390,longyearbyen,78.2186,15.6401,-14.09,61,75,10.8,SJ,1678370310
391,athens,37.9795,23.7162,19.12,58,20,5.14,GR,1678369997
392,disna,55.568,28.1971,-1.86,78,96,3.39,BY,1678370310
393,uzhur,55.3036,89.8339,-19.95,100,68,0.06,RU,1678370310
394,aswan,24.0934,32.907,28.46,13,0,6.37,EG,1678369880
395,riverton,40.5219,-111.9391,-1.94,86,65,1.34,US,1678370310
396,la asuncion,11.0333,-63.8628,25.85,83,95,0.0,VE,1678370311
397,saint-francois,46.4154,3.9054,13.71,71,100,3.6,FR,1678370311
398,roebourne,-20.7833,117.1333,30.55,60,51,7.12,AU,1678370311
399,singkang,2.1006,102.7994,23.33,96,59,2.01,MY,1678370312
400,husavik,66.0449,-17.3389,-3.82,89,100,7.78,IS,1678370312
401,kanye,-24.9667,25.3327,30.64,23,0,4.09,BW,1678370312
402,clyde river,70.4692,-68.5914,-15.87,78,0,5.66,CA,1678370312
403,yaan,7.3833,8.5667,38.37,25,100,2.85,NG,1678370312
404,arrifes,37.7667,-25.7,16.14,94,75,6.17,PT,1678370312
405,nong chik,6.8436,101.178,26.29,72,99,5.66,TH,1678370313
406,vallenar,-28.5708,-70.7581,23.24,58,0,1.76,CL,1678370313
407,tommot,58.9564,126.2925,-18.77,97,100,1.71,RU,1678370313
408,whitehorse,60.7161,-135.0538,-15.55,62,100,6.17,CA,1678370313
409,lusambo,-4.9667,23.45,27.81,66,99,1.37,CD,1678370313
410,corn island,12.1694,-83.0418,25.9,69,78,4.26,NI,1678370313
411,north bend,43.4065,-124.2243,5.48,91,100,5.14,US,1678370314
412,bac lieu,9.285,105.7244,24.1,75,0,8.14,VN,1678370314
413,najran,17.4924,44.1277,33.36,27,35,1.79,SA,1678370314
414,birao,10.2849,22.7882,37.53,11,100,5.09,CF,1678370314
415,fairbanks,64.8378,-147.7164,-0.78,91,100,5.66,US,1678370102
416,sistranda,63.7256,8.834,-5.02,63,29,1.98,NO,1678370314
417,kavieng,-2.5744,150.7967,27.41,75,100,1.54,PG,1678370315
418,asau,46.4333,26.4,15.51,70,100,3.2,RO,1678370315
419,ponazyrevo,58.3578,46.3142,-2.15,83,45,4.91,RU,1678370315
420,walvis bay,-22.9575,14.5053,17.83,56,18,9.05,NA,1678370315
421,marawi,7.9986,124.2928,20.12,97,58,1.17,PH,1678370315
422,vigrestad,58.5667,5.7,0.7,90,100,5.59,NO,1678370315
423,den helder,52.9599,4.7593,3.31,83,75,4.92,NL,1678370315
424,ishigaki,24.3448,124.1572,19.07,77,17,3.6,JP,1678370316
425,tabou,4.423,-7.3528,29.36,71,60,1.5,CI,1678370316
426,vao,-22.6667,167.4833,25.15,71,19,7.46,NC,1678370316
